['Wed', 243]
['Sun', 239]
['Thu', 274]
['Tue', 166]
['Mon', 147]
['Fri', 462]
['Sat', 420]




['00',71]
['01',92]
['02',39]
['03',6]
['04',2]
['05',1]
['08',6]
['09',22]
['10',51]
['11',69]
['12',82]
['13',84]
['14',117]
['15',101]
['16',95]
['17',137]
['18',125]
['19',158]
['20',107]
['21',185]
['22',256]
['23',145]
